priority,target,contact_route,best_route,angle,confidence,partner_url,source
1,SumanTV,contact@sumantv.com | +91-7674834977,email + official social DM + business framing,repeatable interview segment plus audience challenge,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=suman_tv&campaign=guest_challenge,https://sumantv.com/contact-us
2,iDream Media,info@idreammedia.com | 040-23740503,email + contact form + LinkedIn/Instagram follow-up,host-guest challenge for interviews and promo content,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=idream_media&campaign=interview_segment,https://idreammedia.com/contactus
3,123Telugu,123telugu@live.com,editorial email + official social DM,coverage or embed plus daily challenge framing,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=123telugu&campaign=editorial_pitch,https://www.123telugu.com/contact-us
4,Geetha Arts,connect@geethaarts.com | 040 2355 3368,email + official site form + LinkedIn/Instagram,release-week branded fan challenge,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=geetha_arts&campaign=release_week,https://geethaarts.com/home/
5,People Media Factory,india@peoplemediafactory.com | +91 40 41239999,email + official site form + social/LinkedIn,digital promo activation for one film,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=people_media_factory&campaign=promo_activation,https://pmfwebsite.azurewebsites.net/
6,aha / Sarkaar,support@aha.video | +91-630-900-1111,LinkedIn + official Instagram/DM + support routing,off-platform extension of a celebrity game format,Medium,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=aha&campaign=sarkaar_extension,https://www.aha.video/webseries/sarkaar
7,Suma Adda / Mallemaala,123telugu@live.com | Mallemaala LinkedIn corporate contacts,LinkedIn + official social DM + management routing,60-second guest-versus-host segment,Medium,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=suma_adda&campaign=guest_challenge,https://www.123telugu.com/contact-us
8,Mythri Movie Makers,info@mythrimoviemakers.com | +91 40 23551866,email + official social DM + LinkedIn to PR/digital,fan activation for a mass-release promo cycle,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=mythri_movie_makers&campaign=release_week,https://mythrimoviemakers.com/
9,TANA,info@tana.org | 1-855-687-8262,email + cultural committee/event routing,community challenge for Telugu engagement,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=tana&campaign=community_challenge,https://www.tana.org/public/contact-us
10,MemeWagon,contact@memewagon.in | +91 8885288799,email + site form + partnership pitch,meme network distribution partner,High,https://tfi-wordle-frontend.onrender.com/?lang=te&partner=memewagon&campaign=creator_distribution,https://memewagon.in/
